title,titleUrl,time,query
dr stephanie,https://www.youtube.com/results?search_query=dr+stephanie,2024-03-18T08:15:18.123Z,"['dr', 'stephanie']"
tensorflow,https://www.youtube.com/results?search_query=tensorflow,2024-03-18T08:13:48.228Z,['tensorflow']
tensorflow,https://www.youtube.com/results?search_query=tensorflow,2024-03-17T20:43:54.674Z,['tensorflow']
machine learning indonesia,https://www.youtube.com/results?search_query=machine+learning+indonesia,2024-03-17T20:43:39.292Z,"['machine', 'learning', 'indonesia']"
kaca biru,https://www.youtube.com/results?search_query=kaca+biru,2024-03-13T15:09:56.510Z,"['kaca', 'biru']"
statquest,https://www.youtube.com/results?search_query=statquest,2024-03-13T14:18:15.610Z,['statquest']
frieren,https://www.youtube.com/results?search_query=frieren,2024-03-13T13:06:36.537Z,['frieren']
kobo kanaeru,https://www.youtube.com/results?search_query=kobo+kanaeru,2024-03-13T13:03:03.778Z,"['kobo', 'kanaeru']"
muse in classroom of the elite ,https://www.youtube.com/results?search_query=muse+in+classroom+of+the+elite+,2024-03-13T13:00:56.703Z,"['muse', 'in', 'classroom', 'of', 'the', 'elite']"
stardenburdenhardenbart,https://www.youtube.com/results?search_query=stardenburdenhardenbart,2024-03-13T09:12:49.769Z,['stardenburdenhardenbart']
shinmei,https://www.youtube.com/results?search_query=shinmei,2024-03-12T20:37:02.916Z,['shinmei']
muse indonesia frieren,https://www.youtube.com/results?search_query=muse+indonesia+frieren,2024-03-12T19:44:35.049Z,"['muse', 'indonesia', 'frieren']"
shinmei,https://www.youtube.com/results?search_query=shinmei,2024-03-12T12:36:57.581Z,['shinmei']
toho color,https://www.youtube.com/results?search_query=toho+color,2024-03-12T07:38:58.277Z,"['toho', 'color']"
hanani natte,https://www.youtube.com/results?search_query=hanani+natte,2024-03-11T09:44:10.585Z,"['hanani', 'natte']"
resist and bite,https://www.youtube.com/results?search_query=resist+and+bite,2024-03-11T09:13:41.207Z,"['resist', 'and', 'bite']"
zoltraak,https://www.youtube.com/results?search_query=zoltraak,2024-03-11T03:18:44.011Z,['zoltraak']
dr richard lee,https://www.youtube.com/results?search_query=dr+richard+lee,2024-03-10T15:13:10.354Z,"['dr', 'richard', 'lee']"
kurnia meiga,https://www.youtube.com/results?search_query=kurnia+meiga,2024-03-09T18:42:12.300Z,"['kurnia', 'meiga']"
deddy corbuzier,https://www.youtube.com/results?search_query=deddy+corbuzier,2024-03-09T18:42:01.436Z,"['deddy', 'corbuzier']"
gawr gura,https://www.youtube.com/results?search_query=gawr+gura,2024-03-09T18:41:38.017Z,"['gawr', 'gura']"
tensorflow,https://www.youtube.com/results?search_query=tensorflow,2024-03-09T18:40:57.013Z,['tensorflow']
statquest,https://www.youtube.com/results?search_query=statquest,2024-03-09T18:40:30.574Z,['statquest']
statquest,https://www.youtube.com/results?search_query=statquest,2024-03-09T17:44:07.141Z,['statquest']
