Channel Id,Channel Url,Channel Title
UCADZVxC_4omYiNDLcsDoCeg,http://www.youtube.com/channel/UCADZVxC_4omYiNDLcsDoCeg,Londokampung
UCYk4LJI0Pr6RBDWowMm-KUw,http://www.youtube.com/channel/UCYk4LJI0Pr6RBDWowMm-KUw,Deddy Corbuzier
UCahetHoMuR0j0EKLogexCIg,http://www.youtube.com/channel/UCahetHoMuR0j0EKLogexCIg,ShinMei
UCfQHaUbD0oEBH_FRYHE5qIg,http://www.youtube.com/channel/UCfQHaUbD0oEBH_FRYHE5qIg,Sepulang Sekolah
UCjQhd1APsd5NQhiVZV7GYzg,http://www.youtube.com/channel/UCjQhd1APsd5NQhiVZV7GYzg,Sabaton
UCjcAfwNEjkXA352e2uMt5Jg,http://www.youtube.com/channel/UCjcAfwNEjkXA352e2uMt5Jg,Muse ID Best Anime Collection
UCoSrY_IQQVpmIRZ9Xf-y93g,http://www.youtube.com/channel/UCoSrY_IQQVpmIRZ9Xf-y93g,Gawr Gura Ch. hololive-EN
UCtYLUTtgS3k1Fg4y5tAhLbw,http://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer
UCxxnxya_32jcKj4yN1_kD7A,http://www.youtube.com/channel/UCxxnxya_32jcKj4yN1_kD7A,Muse Indonesia





